recipe,ingredient,amount,units,comment
,,,,
Best Tamale Pie,Onion,1,medium,chopped
Best Tamale Pie,Crumbles,2,cup,soy burger
Best Tamale Pie,Kidney beans,15,oz,"drained, rinsed"
Best Tamale Pie,Enchilada sauce,10,oz,
Best Tamale Pie,Corn muffin and bread mix,6.5,oz,
Best Tamale Pie,Milk,0.3333,cup,
Best Tamale Pie,Butter,2,tbsp,melted
Best Tamale Pie,Egg,1,,
Best Tamale Pie,Cheese (colby-jack),0.5,cup,shredded
Best Tamale Pie,Chiles (green),4.5,oz,"chopped, undrained"
Best Tamale Pie,Sour cream,0.25,cup,
Best Tamale Pie,Onion (green),4,medium,chopped
Chipotle Black Bean Soup,Olive oil,1,tbsp,
Chipotle Black Bean Soup,Onion (red),2,medium,chopped
Chipotle Black Bean Soup,Bell pepper (red),1,medium,chopped
Chipotle Black Bean Soup,Bell pepper (green),1,medium,chopped
Chipotle Black Bean Soup,garlic,4,clove,minced
Chipotle Black Bean Soup,ground cumin,4,tsp,
Chipotle Black Bean Soup,Black beans,16,oz,dried
Chipotle Black Bean Soup,Chiles (chipotle),1,tbsp,chopped
Chipotle Black Bean Soup,Water,7,cup,
Chipotle Black Bean Soup,Lime juice,2,tbsp,fresh
Chipotle Black Bean Soup,Salt (kosher),2,tsp,coarse
Chipotle Black Bean Soup,Black pepper,0.25,tsp,ground
Lentil Sweet Potato Soup,Carrot,4,large,chopped
Lentil Sweet Potato Soup,Celery,4,stalks,chopped
Lentil Sweet Potato Soup,Onion,1,medium,diced
Lentil Sweet Potato Soup,Sweet potatoes,2,large,peeled and cubed
Lentil Sweet Potato Soup,Green beans,1.5,cup,chopped
Lentil Sweet Potato Soup,Green lentils,2,cup,
Lentil Sweet Potato Soup,Rosemary,1,tsp,"Fresh, minced"
Lentil Sweet Potato Soup,Bay leaf,1,leaf,leaf
Lentil Sweet Potato Soup,Oregano,1,tsp,dried
Lentil Sweet Potato Soup,garlic,4,clove,minced
Lentil Sweet Potato Soup,Diced tomatoes,15,oz,diced
Lentil Sweet Potato Soup,Vegetable broth,64,oz,
Lentil Sweet Potato Soup,Salt,2,tsp,
Lentil Sweet Potato Soup,Pepper,0.5,tsp,
